,Reward
0,72338.29056752204
1,8462.346022566458
2,12340.40094585561
3,12699.060570537884
4,4165.097329835856
5,14636.843307995148
6,8895.412489534345
7,2540.3988761855935
8,3609.053496817943
9,10843.337236150526
10,24678.320019808634
11,2798.230557035199
12,12474.319499553654
13,4859.5474403864355
14,81853.9659391792
15,10001.282219776316
16,3119.2875254891064
17,3836.4971972304643
18,2514.756781487916
19,4659.458615670221
20,9210.970376218553
21,9955.538565508186
22,5371.750243046319
23,18812.888394203677
24,3114.3516536661527
25,10399.746570825564
26,11610.361085423156
27,1631.3563211547118
28,68807.06839529758
29,18907.60409984333
30,2390.5584316995037
31,7525.398768407854
32,16091.244073017475
33,7773.987125603114
34,8242.898664626544
35,2463.033444456876
36,5770.991534617987
37,42568.84218910302
38,6376.256397026931
39,28867.76862224944
40,53457.77578097604
41,4029.732594079489
42,17374.999343185562
43,12887.181068964423
44,3195.7591218490084
45,3000.5639805719757
46,1713.0766255029139
47,8213.6188077181
48,4021.159561205281
49,4829.513883931801
50,3084.9237521247032
51,24989.401236659465
52,7931.136302779955
53,6166.921042394444
54,70695.97271215696
55,1712.1729353158294
56,3006.6358993753734
57,1553.711631941526
58,3625.085355613987
59,3377.552849377723
60,5748.853656390135
61,2266.407436092195
62,6303.74086670312
63,12749.499704893782
64,4707.665130559324
65,1711.3243323103536
66,1626.8031843971125
67,3141.000401434958
68,3863.479928489288
69,3540.0386031648472
70,16307.473400066341
71,1623.782579109946
72,3286.390790231996
73,280324.28355713346
74,2348.9493797211944
75,1874.3815865932745
76,4382.317473992195
77,8760.024361554822
78,2658.806019800182
79,233133.94172587403
80,332022.3604010938
81,1606.8346997021808
82,8387.924005277639
83,29882.953603658498
84,3010.9520281213017
85,1557.7432071646028
86,13571.892784729518
87,14016.402353049136
88,8575.71287748332
89,1486.5041733251667
90,6846.286564845096
91,2110.862550637233
92,2366.3211436606134
93,33427.09597018589
94,2808.2444333741746
95,5681.661585330371
96,84739.14955219744
97,3603.752655437015
98,2823.662068284591
99,1474.1517426647786
100,14110.414511892563
