,Machine_Action
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,0
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,0
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,0
189,1
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,1
204,1
205,0
206,0
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,1
258,0
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,1
273,1
274,1
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,0
283,1
284,1
285,0
286,0
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,0
303,1
304,1
305,1
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,1
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,0
333,1
334,0
335,0
336,1
337,1
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,0
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,1
361,1
362,1
363,1
364,0
365,0
366,1
367,1
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,1
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,0
417,1
418,0
419,0
420,1
421,0
422,1
423,0
424,0
425,0
426,1
427,1
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,0
443,0
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,1
475,0
476,1
477,0
478,0
479,1
480,0
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,0
513,0
514,1
515,0
516,1
517,0
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,0
526,0
527,1
528,0
529,0
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,0
547,1
548,0
549,1
550,1
551,0
552,0
553,0
554,0
555,0
556,1
557,0
558,1
559,1
560,1
561,0
562,0
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,1
574,1
575,0
576,1
577,1
578,0
579,0
580,0
581,1
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,0
598,1
599,0
600,1
601,0
602,0
603,1
604,1
605,1
606,0
607,1
608,0
609,0
610,0
611,1
612,0
613,1
614,0
615,0
616,0
617,1
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,1
626,1
627,0
628,0
629,0
630,0
631,0
632,1
633,0
634,1
635,1
636,1
637,0
638,1
639,0
640,0
641,0
642,0
643,1
644,0
645,0
646,0
647,1
648,1
649,0
650,1
651,0
652,1
653,0
654,0
655,1
656,0
657,1
658,1
659,0
660,0
661,0
662,1
663,1
664,1
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,1
682,1
683,0
684,1
685,1
686,0
687,1
688,0
689,1
690,1
691,1
692,0
693,0
694,0
695,1
696,0
697,1
698,1
699,0
700,0
701,0
702,1
703,0
704,1
705,1
706,0
707,0
708,1
709,0
710,1
711,0
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,0
734,1
735,1
736,0
737,1
738,1
739,0
740,1
741,0
742,1
743,0
744,1
745,1
746,0
747,0
748,0
749,0
750,1
751,0
752,1
753,0
754,1
755,0
756,0
757,1
758,1
759,1
760,1
761,1
762,0
763,1
764,1
765,1
766,1
767,0
768,0
769,0
770,0
771,1
772,1
773,1
774,1
775,1
776,1
777,0
778,0
779,1
780,1
781,1
782,0
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,1
793,0
794,0
795,0
796,1
797,0
798,0
799,1
800,1
801,0
802,0
803,0
804,1
805,1
806,0
807,0
808,1
809,0
810,0
811,1
812,0
813,1
814,0
815,0
816,1
817,1
818,0
819,1
820,0
821,1
822,0
823,0
824,0
825,1
826,0
827,0
828,1
829,0
830,1
831,0
832,1
833,0
834,0
835,0
836,0
837,0
838,1
839,0
840,0
841,0
842,1
843,1
844,0
845,0
846,1
847,0
848,1
849,0
850,1
851,0
852,0
853,0
854,1
855,1
856,1
857,1
858,0
859,0
860,0
861,1
862,0
863,0
864,0
865,0
866,0
867,0
868,1
869,1
870,1
871,1
872,0
873,1
874,0
875,1
876,0
877,0
878,1
879,0
880,0
881,0
882,1
883,1
884,0
885,0
886,0
887,1
888,0
889,0
890,0
891,0
892,1
893,0
894,0
895,1
896,0
897,1
898,0
899,0
900,1
901,1
902,0
903,1
904,1
905,0
906,0
907,1
908,0
909,1
910,0
911,0
912,1
913,1
914,1
915,1
916,0
917,1
918,1
919,0
920,1
921,1
922,1
923,1
924,1
925,0
926,0
927,1
928,0
929,1
930,0
931,1
932,0
933,0
934,1
935,1
936,1
937,1
938,1
939,0
940,0
941,0
942,1
943,0
944,0
945,0
946,0
947,1
948,0
949,1
950,0
951,1
952,1
953,0
954,1
955,1
956,1
957,1
958,1
959,0
960,1
961,1
962,0
963,0
964,1
965,1
966,1
967,1
968,0
969,0
970,1
971,0
972,1
973,1
974,0
975,1
976,0
977,0
978,1
979,1
980,0
981,1
982,0
983,0
984,0
985,0
986,0
987,1
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,1
1004,0
1005,1
1006,1
1007,1
1008,0
1009,0
1010,0
1011,1
1012,1
1013,0
1014,1
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,0
1022,1
1023,0
1024,0
1025,1
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,1
1033,1
1034,1
1035,0
1036,1
1037,0
1038,1
1039,0
1040,0
1041,1
1042,1
1043,0
1044,1
1045,0
1046,1
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,1
1058,0
1059,1
1060,1
1061,1
1062,0
1063,0
1064,1
1065,0
1066,0
1067,0
1068,0
1069,0
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,0
1077,1
1078,0
1079,0
1080,1
1081,1
1082,1
1083,0
1084,0
1085,0
1086,0
1087,1
1088,0
1089,0
1090,0
1091,1
1092,1
1093,0
1094,1
1095,1
1096,0
1097,1
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,0
1105,0
1106,1
1107,0
1108,1
1109,1
1110,0
1111,0
1112,0
1113,1
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,1
1121,1
1122,1
1123,1
1124,0
1125,1
1126,0
1127,0
1128,1
1129,1
1130,0
1131,0
1132,1
1133,1
1134,0
1135,1
1136,1
1137,1
1138,0
1139,0
1140,0
1141,0
1142,1
1143,1
1144,1
1145,0
1146,1
1147,1
1148,0
1149,1
1150,1
1151,0
1152,1
1153,1
1154,0
1155,0
1156,1
1157,1
1158,0
1159,0
1160,1
1161,1
1162,0
1163,0
1164,1
1165,0
1166,0
1167,0
1168,0
1169,1
1170,0
1171,1
1172,0
1173,1
1174,1
1175,0
1176,1
1177,1
1178,0
1179,0
1180,1
1181,0
1182,1
1183,0
1184,1
1185,0
1186,0
1187,1
1188,0
1189,1
1190,1
1191,0
1192,0
1193,0
1194,1
1195,1
1196,1
1197,0
1198,0
1199,1
1200,0
1201,0
1202,0
1203,1
1204,0
1205,1
1206,1
1207,0
1208,0
1209,0
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,0
1220,1
1221,1
1222,0
1223,1
1224,1
1225,1
1226,0
1227,1
1228,0
1229,0
