,Machine_Action
0,1
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,1
17,1
18,0
19,1
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,1
191,0
192,1
193,0
194,1
195,0
196,0
197,1
198,1
199,0
200,0
201,1
202,1
203,0
204,1
205,1
206,0
207,1
208,0
209,0
210,1
211,0
212,1
213,1
214,0
215,0
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,1
232,0
233,1
234,1
235,0
236,0
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,0
288,0
289,1
290,0
291,0
292,1
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,0
312,1
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,0
331,0
332,1
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,1
341,1
342,0
343,1
344,0
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,1
373,1
374,0
375,0
376,1
377,0
378,1
379,0
380,1
381,0
382,0
383,1
384,0
385,1
386,1
387,0
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,1
404,0
405,1
406,0
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,1
415,1
416,0
417,0
418,1
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,1
429,0
430,0
431,0
432,1
433,0
434,1
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,1
445,0
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,1
466,0
467,1
468,1
469,0
470,1
471,0
472,1
473,0
474,0
475,1
476,1
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,1
489,0
490,1
491,0
492,1
493,0
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,1
503,0
504,1
505,1
506,0
507,1
508,0
509,0
510,1
511,0
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,1
520,0
521,0
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,0
530,0
531,1
532,0
533,1
534,0
535,1
536,0
537,1
538,0
539,1
540,0
541,1
542,0
543,1
544,0
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,1
556,0
557,1
558,0
559,1
560,1
561,0
562,0
563,1
564,1
565,0
566,1
567,0
568,1
569,0
570,0
571,1
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,1
580,0
581,0
582,1
583,0
584,1
585,1
586,0
587,0
588,1
589,1
590,0
591,0
592,1
593,0
594,1
595,1
596,0
597,1
598,1
599,0
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,0
608,1
609,1
610,0
611,0
612,1
613,1
614,0
615,1
616,0
617,0
618,1
619,0
620,1
621,1
622,0
623,0
624,1
625,0
626,1
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,0
635,0
636,1
637,0
638,1
639,0
640,1
641,0
642,0
643,1
644,0
645,1
646,0
647,1
648,0
649,1
650,0
651,1
652,0
653,0
654,1
655,1
656,0
657,1
658,0
659,1
660,0
661,1
662,1
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,1
671,0
672,1
673,0
674,1
675,1
676,0
677,1
678,0
679,0
680,0
681,1
682,0
683,1
684,0
685,1
686,0
687,1
688,0
689,1
690,0
691,0
692,1
693,0
694,1
695,0
696,0
697,1
698,1
699,0
700,1
701,0
702,1
703,1
704,0
705,0
706,1
707,1
708,0
709,1
710,0
711,1
712,0
713,0
714,1
715,1
716,0
717,1
718,0
719,0
720,1
721,1
722,0
723,1
724,0
725,0
726,0
727,0
728,1
729,1
730,1
731,1
732,1
733,1
734,0
735,0
736,0
737,1
738,0
739,0
740,1
741,1
742,1
743,1
744,0
745,1
746,0
747,0
748,0
749,1
750,0
751,1
752,1
753,1
754,0
755,0
756,0
757,1
758,0
759,1
760,1
761,1
762,0
763,0
764,1
765,0
766,0
767,1
768,1
769,0
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,0
779,1
780,1
781,0
782,0
783,1
784,1
785,0
786,1
787,0
788,1
789,0
790,1
791,1
792,0
793,0
794,1
795,0
796,0
797,0
798,1
799,1
800,1
801,1
802,0
803,1
804,0
805,1
806,0
807,0
808,1
809,0
810,1
811,1
