,Reward
0,139.21909400882646
1,244.68627396526114
2,310.47670295816147
3,374.78874141898393
4,326.5214857956685
5,421.68065038854684
6,545.511789791816
7,514.7119708907445
8,539.8191111111245
9,526.071400412656
10,554.1081318659178
11,487.7229137146099
12,443.5729212841489
13,474.4421499334437
14,7715.298590196936
15,95867.91414935635
16,265.09050874222834
17,232.32510371071925
18,264.6021618340371
19,236.11262326745904
20,23.116806171762992
21,723.2926954556754
22,188.79950236246665
23,207.97792595945245
24,196.39480768661957
25,276.34696101101036
26,207.67291700461266
27,204.76636466883377
28,450.6388682255168
29,174.6063218397747
30,534.5093529144984
31,247.72726555573183
32,347.83018693946013
33,225.98134633329536
34,562.5821355647694
35,668.0267982921729
36,2626.492792992424
37,748.9048770416941
38,28305.533923856765
39,14280.537574439204
40,1375.9720816435633
41,659.1774075245415
42,651.0603642933993
43,3714.8843067595176
44,1056.5375844880177
45,1118.9360127113914
46,2178.530385819291
47,1151.536031030142
48,5946.013615714837
49,2250.431525036289
50,1619.2567212072036
