,Reward
0,1267.0418877076195
1,644.2335008462491
2,619.6239514025264
3,212.78221125890062
4,1223.8444375107065
5,597.168426875488
6,555.6847604572063
7,2982.1678595918384
8,572.9983155443647
9,1052.153853852948
10,32.562074132164874
11,178.97338736609896
12,1201.4465889124995
13,1852.171842879395
14,3272.3217918812375
15,176.4382362385988
16,431.22712077880885
17,4588.466633998759
18,690.6141131551068
19,499.59054191979595
20,1932.4784507441777
21,4579.7269514566
22,658.1130147492579
23,894.7716480871771
24,2772.861293692158
25,2279.104499054281
26,1719.5030082939384
27,259.86074168694284
28,873.8163411942321
29,3607.5721320504194
30,978.7140954985093
31,761.4824991328342
32,111.6641703833506
33,274.1479210035849
34,1003.1128947602746
35,2987.1219798049724
36,2217.188649997803
37,892.2252478579276
38,3040.2103436697116
39,1306.6584489504203
40,585.2904825826433
41,2942.4925482478757
42,853.4859900125363
43,2118.31456937001
44,674.8142109522889
45,2359.6284833666664
46,343.80770629282847
47,3018.2226998968586
48,384.2925704387197
49,703.4117608546042
50,23.43365872643089
