,Loss
0,0.4346023598685861
1,0.41006116606295107
2,0.3826227724552155
3,0.37152949906885624
4,0.3484778244048357
5,0.33730042092502116
6,0.30675973016768693
7,0.5341929578415148
8,0.539032928168308
9,0.7531901070149616
10,0.8716733597218991
11,1.018454381718766
12,1.283221933245659
13,2.6308841943740844
14,3.0902434647083283
15,3.1716336965560914
16,3.60208355858922
17,6.030465848743916
18,15.512049043178559
19,9.926101523637772
20,14.251565471291542
21,51.544081723690034
22,79.50063682943582
23,55.51409645080567
24,277.96289772987365
25,482.9695233821869
26,446.00904216766355
27,650.6944911956787
28,498.23173065185546
29,1213.7074981689452
30,2090.6449783325197
31,1749.0865798950194
32,2078.9872032165526
33,1945.500407409668
34,1581.7468994140625
35,3029.4884490966797
36,6897.401290893555
37,4323.055603027344
38,7939.228820800781
39,14659.582153320312
40,18700.525170898436
41,25625.46655943394
42,32819.488806152345
43,38512.865625
44,30011.20679584816
45,26802.727117919923
46,54744.29536132813
47,49698.46505737305
48,169049.77951583863
49,116864.5671875
50,94832.52792358398
51,76143.19890136718
52,110753.843901062
53,60614.83829345703
54,243980.8861679077
55,80156.57330322266
56,123269.80924758912
57,116572.27103576661
58,251796.52451171874
59,121638.59959869385
60,182246.91883773805
61,172471.80978088378
62,171894.27160949708
63,487124.2893066406
64,333697.49125976564
65,408712.2837402344
66,171568.7923034668
67,443958.88040771487
68,400720.590361023
69,240154.89682922364
70,1037934.4077636718
71,620413.5153198242
72,536540.3685546875
73,386134.48745117185
74,374168.9616699219
75,318402.1879394531
76,1569914.0321289063
77,568549.49765625
78,655477.3131103516
79,1697096.8186531067
80,336444.4862884522
81,1795425.6931640625
82,1440043.915120697
83,1195127.5062011718
84,795831.9993164062
85,724938.618407917
86,4083502.718383789
87,1552984.429321289
88,513948.55228271487
89,1244081.8299316405
90,583679.8111816406
91,1238791.1852539063
92,946787.6657714844
93,1430126.4761230468
94,1510710.8037109375
95,722679.1704044342
96,978804.3422790527
97,993140.3828125
98,2655406.549391949
99,3332084.6494750977
100,1137485.14140625
101,1108060.1801757812
102,782600.1864135743
103,1478949.41875
104,2565455.267675781
105,1663073.13515625
106,1795745.63359375
107,4551935.765527343
108,1558598.437109375
109,1877719.056262207
110,5228271.7359375
111,5590949.3109375
112,5620932.7546875
113,22364190.21796875
114,1826252.8921875
115,7744659.490625
116,4318990.115625
117,6384958.936328125
118,1805032.6872314452
119,6377019.690625
120,1654620.2946472168
121,3794430.9779771804
122,21365329.1890625
123,6170251.55
124,4063374.2015625
125,3917514.54296875
126,10473386.7359375
127,5224086.924755859
128,7156894.154296875
129,2035789.1046875
130,3103312.340625
131,12043853.91875
132,15344983.334375
133,2940345.48125
134,2193647.617114258
135,10518132.815576172
136,3218298.0717041017
137,25961376.7375
138,1963152.612109375
139,8516488.83984375
140,10904114.75234375
141,4814016.965625
142,6429598.2640625
143,2424563.2527648928
