,Machine_Action
0,1
1,1
2,1
3,0
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,0
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,0
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,0
282,0
283,0
284,0
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,0
315,1
316,1
317,1
318,0
319,1
320,0
321,1
322,0
323,0
324,1
325,1
326,1
327,1
328,0
329,1
330,0
331,1
332,0
333,1
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,1
343,0
344,1
345,0
346,1
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,0
358,1
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,1
378,0
379,1
380,0
381,1
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,1
396,1
397,0
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,0
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,0
444,1
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,1
459,1
460,0
461,1
462,0
463,1
464,1
465,0
466,1
467,0
468,1
469,1
470,0
471,1
472,0
473,1
474,1
475,1
476,0
477,1
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,1
526,1
527,1
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,1
539,0
540,1
541,0
542,0
543,1
544,1
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,1
561,1
562,0
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,1
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,1
595,1
596,0
597,0
598,0
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,1
618,1
619,1
620,1
621,1
622,0
623,0
624,0
625,0
626,0
627,0
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,1
637,1
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,1
660,1
661,0
662,0
663,1
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,1
673,0
674,1
675,0
676,0
677,0
678,1
679,1
680,1
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,1
692,1
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,1
712,0
713,0
714,1
715,1
716,1
717,0
718,0
719,1
720,1
721,1
722,1
723,1
724,1
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,1
734,0
735,1
736,0
737,0
738,0
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,1
757,0
758,1
759,1
760,0
761,1
762,1
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,1
785,1
786,1
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,1
797,1
798,0
799,1
800,0
801,1
802,1
803,0
804,1
805,1
806,0
807,0
808,1
809,1
810,1
811,1
