,Reward
0,6.270009998610008
1,19.88533781867337
2,8.601910836746837
3,27.67786888056913
4,53.21089341052451
5,28.128818453485795
6,73.78208002541481
7,41.25569923809171
8,56.69069572350862
9,46.23890377084895
10,56.656378763725364
11,71.26525920284857
12,100.7017531872892
13,42.16860768098453
14,74.50228866216035
15,134.6778110122285
16,95.8641868946289
17,179.05292728084976
18,153.8271022084006
19,246.576855036355
20,184.30015901034187
21,309.14796858135895
22,251.83054373992434
23,255.7115367920154
24,362.843004892014
25,283.91257574581
26,291.1561615110976
27,255.6084845682782
28,298.7244692147026
29,528.825234629813
30,273.7425984764662
31,233.18630728632095
32,202.40000921966305
33,379.6848149693198
34,336.1218700996711
35,336.34274224358944
36,390.684879372885
37,318.97169034587995
38,406.87453880769834
39,483.15161298108023
40,273.62333671770796
41,385.3732266181757
42,214.11352712938827
43,238.82394209402756
44,411.8112566775843
45,608.5994060677617
46,515.9593557421186
47,529.2873792782972
48,386.3488377964187
49,499.9384019511008
50,362.01693808150605
